Operation,Part Number,Description,Reference,Comparacion
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C2,Solo en BOM
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C3,Solo en BOM
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C4,Solo en BOM
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C5,Solo en BOM
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C6,Solo en BOM
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C7,Solo en BOM
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C13,Solo en BOM
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C15,Solo en BOM
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C16,Solo en BOM
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C17,Solo en BOM
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C18,Solo en BOM
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C19,Solo en BOM
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C25,Solo en BOM
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C26,Solo en BOM
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C27,Solo en BOM
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C30,Solo en BOM
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C31,Solo en BOM
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C32,Solo en BOM
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C38,Solo en BOM
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C44,Solo en BOM
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C45,Solo en BOM
20.0,106-32103-00,CAP CER 3300PF 50V X7R 0402,C42,Solo en BOM
20.0,106-0769-02,CAP CER 4.7uF 25V 20% X5R 0603,C14,Solo en BOM
20.0,106-0769-02,CAP CER 4.7uF 25V 20% X5R 0603,C20,Solo en BOM
20.0,106-0769-02,CAP CER 4.7uF 25V 20% X5R 0603,C23,Solo en BOM
20.0,106-0769-02,CAP CER 4.7uF 25V 20% X5R 0603,C24,Solo en BOM
20.0,106-0769-02,CAP CER 4.7uF 25V 20% X5R 0603,C33,Solo en BOM
20.0,106-0769-02,CAP CER 4.7uF 25V 20% X5R 0603,C34,Solo en BOM
20.0,106-0769-02,CAP CER 4.7uF 25V 20% X5R 0603,C36,Solo en BOM
20.0,106-0769-02,CAP CER 4.7uF 25V 20% X5R 0603,C46,Solo en BOM
20.0,046-32088-00,CRYSTAL 8MHZ 12PF SMD,Y2,Solo en BOM
20.0,046-32087-00,CRYSTAL 32.768KHZ 12.5PF SMD,Y1,Solo en BOM
20.0,038-32083-00,SWITCH TACTILE SPST-NO 0.05A 12V,S1,Solo en BOM
20.0,038-32083-00,SWITCH TACTILE SPST-NO 0.05A 12V,S2,Solo en BOM
20.0,038-32083-00,SWITCH TACTILE SPST-NO 0.05A 12V,S3,Solo en BOM
20.0,038-32083-00,SWITCH TACTILE SPST-NO 0.05A 12V,S4,Solo en BOM
20.0,037-32081-00,FFC & FPC Connectors FFC/FPC CONN,LCD1,Solo en BOM
20.0,029-32075-00,Inductor 4.7uH,L5,Solo en BOM
20.0,029-32074-00,Inductor 120uH,L6,Solo en BOM
20.0,027-32072-00,FERRITE BEAD 120 OHM 0402 1LN,L1,Solo en BOM
20.0,027-32072-00,FERRITE BEAD 120 OHM 0402 1LN,L2,Solo en BOM
20.0,027-32072-00,FERRITE BEAD 120 OHM 0402 1LN,L3,Solo en BOM
20.0,027-32072-00,FERRITE BEAD 120 OHM 0402 1LN,L4,Solo en BOM
20.0,017-32068-A0,PCB SYRMA 980018370-004,PCB,Solo en BOM
20.0,016-32062-06,DIODE SCHOTTKY 30V 200MA SOD523,D1,Solo en BOM
20.0,016-32060-05,"LED MOUNT .120"" < 4.3 mm width",SPACER2,Solo en BOM
20.0,016-32060-05,"LED MOUNT .120"" < 4.3 mm width",SPACER5,Solo en BOM
20.0,015-32048-02,MOSFET N-CH 60V 0.115A SOT-23,Q1,Solo en BOM
20.0,014-32045-26,IC OP AMP MCP601T-I/OT SOT23,U4,Solo en BOM
20.0,014-32044-08,IC VOLTAGE REG TPS71530DCKR SC70,U3,Solo en BOM
20.0,014-32043-08,IC SWITCH REG LM5010ASD/NOPB WSON10,U5,Solo en BOM
20.0,014-32040-00,IC REG BST SYNC ADJ 0.12A 10-LLP,U2,Solo en BOM
20.0,014-32039-00,IC MCU 32BIT 256KB FLASH 100LQFP,U1,Solo en BOM
20.0,014-0082-16,IC 2.5V REF SOT-23                      ,D3,Solo en BOM
,106-0627-02,,C12,Solo en Placement
,106-0264-02,,C128,Solo en Placement
,106-0627-02,,C13,Solo en Placement
,106-0627-02,,C135,Solo en Placement
,106-0627-02,,C136,Solo en Placement
,106-0627-02,,C137,Solo en Placement
,106-0627-02,,C138,Solo en Placement
,106-0627-02,,C139,Solo en Placement
,106-0627-02,,C14,Solo en Placement
,106-0627-02,,C140,Solo en Placement
,106-0627-02,,C141,Solo en Placement
,106-0627-02,,C142,Solo en Placement
,106-0627-02,,C146,Solo en Placement
,106-0627-02,,C15,Solo en Placement
,106-0627-02,,C172,Solo en Placement
,106-0627-02,,C173,Solo en Placement
,106-0627-02,,C174,Solo en Placement
,106-0627-02,,C175,Solo en Placement
,106-0627-02,,C176,Solo en Placement
,106-0627-02,,C177,Solo en Placement
,106-0627-02,,C178,Solo en Placement
,106-0299-02,,C182,Solo en Placement
,106-0299-02,,C183,Solo en Placement
,106-0299-02,,C184,Solo en Placement
,106-0299-02,,C19,Solo en Placement
,106-0627-02,,C190,Solo en Placement
,106-0627-02,,C193,Solo en Placement
,106-0627-02,,C194,Solo en Placement
,106-0627-02,,C195,Solo en Placement
,106-0627-02,,C196,Solo en Placement
,106-0627-02,,C198,Solo en Placement
,106-0627-02,,C2,Solo en Placement
,106-0627-02,,C200,Solo en Placement
,106-0627-02,,C202,Solo en Placement
,106-0627-02,,C203,Solo en Placement
,106-0627-02,,C205,Solo en Placement
,106-0627-02,,C206,Solo en Placement
,106-0268-02,,C215,Solo en Placement
,106-0627-02,,C231,Solo en Placement
,106-0275-02,,C24,Solo en Placement
,106-0275-02,,C25,Solo en Placement
,106-0299-02,,C252,Solo en Placement
,106-0275-02,,C26,Solo en Placement
,106-0275-02,,C27,Solo en Placement
,106-0275-02,,C29,Solo en Placement
,106-0696-02,,C3,Solo en Placement
,106-0696-02,,C4,Solo en Placement
,106-0299-02,,C492,Solo en Placement
,106-0299-02,,C497,Solo en Placement
,106-0696-02,,C5,Solo en Placement
,106-0299-02,,C501,Solo en Placement
,106-0299-02,,C504,Solo en Placement
,106-0299-02,,C507,Solo en Placement
,106-0299-02,,C511,Solo en Placement
,106-0696-02,,C6,Solo en Placement
,106-0275-02,,C64,Solo en Placement
,106-0275-02,,C85,Solo en Placement
,106-0275-02,,C86,Solo en Placement
,106-0275-02,,C87,Solo en Placement
,106-0275-02,,C88,Solo en Placement
,106-0275-02,,C89,Solo en Placement
,106-0275-02,,C92,Solo en Placement
,106-0264-02,,C96,Solo en Placement
,029-0232-08,,L22,Solo en Placement
,029-22434-00,,L4,Solo en Placement
,029-22434-00,,L5,Solo en Placement
,029-22434-00,,L6,Solo en Placement
,029-22434-00,,L7,Solo en Placement
,029-22434-00,,L8,Solo en Placement
,029-22434-00,,L9,Solo en Placement
,015-0080-05,,Q1,Solo en Placement
,015-0050-07,,Q2,Solo en Placement
,114-2400-C4,,R1,Solo en Placement
,114-0000-C6,,R10,Solo en Placement
,114-4701-C6,,R100,Solo en Placement
,114-4701-C4,,R102,Solo en Placement
,114-0000-C6,,R116,Solo en Placement
,114-0000-C6,,R117,Solo en Placement
,114-1002-C4,,R119,Solo en Placement
,114-1002-C4,,R12,Solo en Placement
,114-0000-C6,,R125,Solo en Placement
,114-0000-C6,,R126,Solo en Placement
,114-0000-C6,,R127,Solo en Placement
,114-0000-C6,,R128,Solo en Placement
,114-0000-C6,,R129,Solo en Placement
,114-2000-C4,,R130,Solo en Placement
,114-0000-C6,,R131,Solo en Placement
,114-0000-C6,,R132,Solo en Placement
,114-0000-C6,,R133,Solo en Placement
,114-6041-C4,,R138,Solo en Placement
,114-1002-C4,,R140,Solo en Placement
,114-1002-C4,,R153,Solo en Placement
,114-1003-C4,,R164,Solo en Placement
,114-4701-C4,,R18,Solo en Placement
,114-2400-C4,,R2,Solo en Placement
,114-1003-C4,,R24,Solo en Placement
,114-1003-C4,,R25,Solo en Placement
,114-0000-C6,,R28,Solo en Placement
,114-0000-C6,,R29,Solo en Placement
,114-0000-C6,,R31,Solo en Placement
,114-0000-26,,R32,Solo en Placement
,114-1003-C4,,R34,Solo en Placement
,114-1001-C4,,R354,Solo en Placement
,114-1002-C4,,R355,Solo en Placement
,114-1002-C4,,R356,Solo en Placement
,114-4701-C4,,R375,Solo en Placement
,114-4701-C4,,R376,Solo en Placement
,114-4701-C4,,R40,Solo en Placement
,114-0000-C6,,R41,Solo en Placement
,114-2000-C4,,R42,Solo en Placement
,114-0000-C6,,R47,Solo en Placement
,114-2400-C4,,R5,Solo en Placement
,114-0000-C6,,R52,Solo en Placement
,114-0000-C6,,R53,Solo en Placement
,114-0000-C6,,R59,Solo en Placement
,114-4701-C6,,R6,Solo en Placement
,114-0000-C6,,R60,Solo en Placement
,114-0000-C6,,R67,Solo en Placement
,114-0000-C6,,R7,Solo en Placement
,114-0000-C6,,R74,Solo en Placement
,114-0000-C6,,R75,Solo en Placement
,114-0000-C6,,R76,Solo en Placement
,114-0000-C6,,R77,Solo en Placement
,114-0000-C6,,R78,Solo en Placement
,114-1003-C4,,R8,Solo en Placement
,114-0000-C6,,R80,Solo en Placement
,114-0000-C6,,R81,Solo en Placement
,114-0000-C6,,R82,Solo en Placement
,114-0000-C6,,R88,Solo en Placement
,114-0000-C6,,R89,Solo en Placement
,014-28306-00,,U13,Solo en Placement
,014-26058-151,,U2,Solo en Placement
,014-29722-00,,U3,Solo en Placement
,014-26750-00,,U5,Solo en Placement
,114-0000-C6,,R134,Solo en Placement
,114-0000-C6,,R135,Solo en Placement
,106-0696-02,,C10,Solo en Placement
,106-0627-02,,C101,Solo en Placement
,106-0696-02,,C11,Solo en Placement
,106-0299-02,,C119,Solo en Placement
,106-0268-02,,C120,Solo en Placement
,106-0299-02,,C121,Solo en Placement
,106-0627-02,,C122,Solo en Placement
,106-0258-02,,C123,Solo en Placement
,106-0299-02,,C124,Solo en Placement
,106-0627-02,,C125,Solo en Placement
,106-0258-02,,C126,Solo en Placement
,106-0264-02,,C127,Solo en Placement
,106-0264-02,,C129,Solo en Placement
,106-0264-02,,C130,Solo en Placement
,106-0264-02,,C143,Solo en Placement
,106-0242-02,,C144,Solo en Placement
,106-0242-02,,C145,Solo en Placement
,106-0264-02,,C147,Solo en Placement
,106-0264-02,,C149,Solo en Placement
,106-0758-02,,C150,Solo en Placement
,106-0264-02,,C151,Solo en Placement
,106-0264-02,,C152,Solo en Placement
,106-0264-02,,C153,Solo en Placement
,106-0758-02,,C154,Solo en Placement
,106-0264-02,,C155,Solo en Placement
,106-0264-02,,C156,Solo en Placement
,106-0264-02,,C157,Solo en Placement
,106-0758-02,,C158,Solo en Placement
,106-0264-02,,C159,Solo en Placement
,106-0696-02,,C16,Solo en Placement
,106-0264-02,,C160,Solo en Placement
,106-0264-02,,C161,Solo en Placement
,106-0264-02,,C162,Solo en Placement
,106-0275-02,,C163,Solo en Placement
,106-0758-02,,C164,Solo en Placement
,106-0264-02,,C165,Solo en Placement
,106-0264-02,,C166,Solo en Placement
,106-0264-02,,C167,Solo en Placement
,106-0264-02,,C168,Solo en Placement
,106-0264-02,,C169,Solo en Placement
,106-0299-02,,C17,Solo en Placement
,106-0264-02,,C170,Solo en Placement
,106-0264-02,,C171,Solo en Placement
,106-0299-02,,C179,Solo en Placement
,106-0299-02,,C18,Solo en Placement
,106-0299-02,,C180,Solo en Placement
,106-0299-02,,C181,Solo en Placement
,106-0502-02,,C185,Solo en Placement
,106-0299-02,,C186,Solo en Placement
,106-0299-02,,C187,Solo en Placement
,106-0299-02,,C188,Solo en Placement
,106-0627-02,,C189,Solo en Placement
,106-0299-02,,C191,Solo en Placement
,106-0299-02,,C192,Solo en Placement
,106-0627-02,,C197,Solo en Placement
,106-0627-02,,C199,Solo en Placement
,106-0246-02,,C20,Solo en Placement
,106-0627-02,,C204,Solo en Placement
,106-0291-02,,C21,Solo en Placement
,106-0264-02,,C218,Solo en Placement
,106-0275-02,,C219,Solo en Placement
,106-0291-02,,C22,Solo en Placement
,106-0264-02,,C220,Solo en Placement
,106-0264-02,,C221,Solo en Placement
,106-0264-02,,C222,Solo en Placement
,106-0264-02,,C223,Solo en Placement
,106-0264-02,,C224,Solo en Placement
,106-0275-02,,C225,Solo en Placement
,106-0275-02,,C226,Solo en Placement
,106-0633-02,,C227,Solo en Placement
,106-0299-02,,C232,Solo en Placement
,106-0299-02,,C233,Solo en Placement
,106-0758-02,,C235,Solo en Placement
,106-0264-02,,C236,Solo en Placement
,106-0264-02,,C237,Solo en Placement
,106-0264-02,,C238,Solo en Placement
,106-0264-02,,C239,Solo en Placement
,106-0264-02,,C240,Solo en Placement
,106-0264-02,,C241,Solo en Placement
,106-0275-02,,C242,Solo en Placement
,106-0758-02,,C243,Solo en Placement
,106-0696-02,,C244,Solo en Placement
,106-0264-02,,C247,Solo en Placement
,106-0264-02,,C248,Solo en Placement
,106-0264-02,,C249,Solo en Placement
,106-0264-02,,C250,Solo en Placement
,106-0299-02,,C254,Solo en Placement
,106-0264-02,,C256,Solo en Placement
,106-0264-02,,C257,Solo en Placement
,106-0264-02,,C258,Solo en Placement
,106-0275-02,,C259,Solo en Placement
,106-0275-02,,C28,Solo en Placement
,106-0696-02,,C332,Solo en Placement
,106-0264-02,,C34,Solo en Placement
,106-0758-02,,C35,Solo en Placement
,106-0264-02,,C36,Solo en Placement
,106-0264-02,,C37,Solo en Placement
,106-0264-02,,C38,Solo en Placement
,106-0264-02,,C39,Solo en Placement
,106-0758-02,,C40,Solo en Placement
,106-0264-02,,C41,Solo en Placement
,106-0264-02,,C42,Solo en Placement
,106-0758-02,,C421,Solo en Placement
,106-0264-02,,C43,Solo en Placement
,106-0275-02,,C44,Solo en Placement
,106-0264-02,,C446,Solo en Placement
,106-0264-02,,C447,Solo en Placement
,106-0264-02,,C448,Solo en Placement
,106-0264-02,,C449,Solo en Placement
,106-0758-02,,C45,Solo en Placement
,106-0264-02,,C459,Solo en Placement
,106-0264-02,,C46,Solo en Placement
,106-0264-02,,C47,Solo en Placement
,106-0299-02,,C474,Solo en Placement
,106-0696-02,,C477,Solo en Placement
,106-0264-02,,C48,Solo en Placement
,106-0264-02,,C485,Solo en Placement
,106-23576-02,,C489,Solo en Placement
,106-0696-02,,C49,Solo en Placement
,106-23576-02,,C490,Solo en Placement
,106-23576-02,,C491,Solo en Placement
,106-23576-02,,C493,Solo en Placement
,106-23576-02,,C495,Solo en Placement
,106-23576-02,,C496,Solo en Placement
,106-23576-02,,C498,Solo en Placement
,106-23576-02,,C499,Solo en Placement
,106-0758-02,,C50,Solo en Placement
,106-23576-02,,C500,Solo en Placement
,106-23576-02,,C502,Solo en Placement
,106-23576-02,,C503,Solo en Placement
,106-23576-02,,C505,Solo en Placement
,106-23576-02,,C506,Solo en Placement
,106-23576-02,,C508,Solo en Placement
,106-23576-02,,C509,Solo en Placement
,106-0264-02,,C51,Solo en Placement
,106-23576-02,,C510,Solo en Placement
,106-0696-02,,C52,Solo en Placement
,106-0627-02,,C54,Solo en Placement
,106-0299-02,,C544,Solo en Placement
,106-0696-02,,C55,Solo en Placement
,106-0696-02,,C56,Solo en Placement
,106-0696-02,,C57,Solo en Placement
,106-0696-02,,C58,Solo en Placement
,106-26035-00,,C59,Solo en Placement
,106-0696-02,,C60,Solo en Placement
,106-26035-00,,C61,Solo en Placement
,106-26035-00,,C62,Solo en Placement
,106-0696-02,,C63,Solo en Placement
,106-0299-02,,C65,Solo en Placement
,106-0299-02,,C66,Solo en Placement
,106-0299-02,,C67,Solo en Placement
,106-0696-02,,C68,Solo en Placement
,106-0696-02,,C69,Solo en Placement
,106-0696-02,,C7,Solo en Placement
,106-0696-02,,C70,Solo en Placement
,106-0696-02,,C71,Solo en Placement
,106-0696-02,,C72,Solo en Placement
,106-0696-02,,C73,Solo en Placement
,106-0696-02,,C74,Solo en Placement
,106-0696-02,,C75,Solo en Placement
,106-0696-02,,C76,Solo en Placement
,106-0696-02,,C77,Solo en Placement
,106-0696-02,,C78,Solo en Placement
,106-0696-02,,C79,Solo en Placement
,106-0696-02,,C8,Solo en Placement
,106-0696-02,,C80,Solo en Placement
,106-0696-02,,C81,Solo en Placement
,106-0696-02,,C82,Solo en Placement
,106-0696-02,,C9,Solo en Placement
,106-0275-02,,C90,Solo en Placement
,106-0275-02,,C91,Solo en Placement
,106-0275-02,,C93,Solo en Placement
,106-0275-02,,C94,Solo en Placement
,106-0264-02,,C97,Solo en Placement
,106-0264-02,,C98,Solo en Placement
,106-0627-02,,C99,Solo en Placement
,029-0232-08,,L13,Solo en Placement
,029-0232-08,,L14,Solo en Placement
,029-0232-08,,L15,Solo en Placement
,029-0232-08,,L23,Solo en Placement
,029-0232-08,,L3,Solo en Placement
,114-1002-C4,,R101,Solo en Placement
,114-4701-C4,,R103,Solo en Placement
,114-4701-C4,,R104,Solo en Placement
,114-0000-C6,,R108,Solo en Placement
,114-4701-C4,,R109,Solo en Placement
,114-4701-C4,,R110,Solo en Placement
,114-0000-C6,,R111,Solo en Placement
,114-0000-C6,,R115,Solo en Placement
,114-1002-C4,,R123,Solo en Placement
,114-1003-C4,,R14,Solo en Placement
,114-1002-C4,,R141,Solo en Placement
,114-0000-C6,,R143,Solo en Placement
,114-0000-C6,,R147,Solo en Placement
,114-4703-C4,,R15,Solo en Placement
,114-0000-C6,,R163,Solo en Placement
,114-1003-C4,,R17,Solo en Placement
,114-4701-C4,,R20,Solo en Placement
,114-1002-C4,,R22,Solo en Placement
,114-0000-C6,,R221,Solo en Placement
,114-1002-C4,,R326,Solo en Placement
,114-22R0-C4,,R35,Solo en Placement
,114-0000-C6,,R353,Solo en Placement
,114-1003-C6,,R357,Solo en Placement
,114-0000-C6,,R38,Solo en Placement
,114-0000-C6,,R384,Solo en Placement
,114-0000-C6,,R49,Solo en Placement
,114-0000-C6,,R61,Solo en Placement
,114-0000-C6,,R64,Solo en Placement
,114-0000-C6,,R65,Solo en Placement
,114-0000-C6,,R68,Solo en Placement
,114-0000-C6,,R73,Solo en Placement
,114-6802-C4,,R84,Solo en Placement
,114-6802-C4,,R85,Solo en Placement
,014-29719-00,,U18,Solo en Placement
,046-0153-01,,Y2,Solo en Placement
,046-0145-011,,Y4,Solo en Placement
,046-0170-01,,Y5,Solo en Placement
