Operation,Part Number,Description,Reference
20.0,106-0769-02,CAP CER 4.7uF 25V 20% X5R 0603,C20
20.0,106-0769-02,CAP CER 4.7uF 25V 20% X5R 0603,C23
20.0,106-0769-02,CAP CER 4.7uF 25V 20% X5R 0603,C24
20.0,106-0769-02,CAP CER 4.7uF 25V 20% X5R 0603,C33
20.0,106-0769-02,CAP CER 4.7uF 25V 20% X5R 0603,C34
20.0,106-0769-02,CAP CER 4.7uF 25V 20% X5R 0603,C36
20.0,106-0769-02,CAP CER 4.7uF 25V 20% X5R 0603,C46
20.0,046-32088-00,CRYSTAL 8MHZ 12PF SMD,Y2
20.0,046-32087-00,CRYSTAL 32.768KHZ 12.5PF SMD,Y1
20.0,038-32083-00,SWITCH TACTILE SPST-NO 0.05A 12V,S1
20.0,038-32083-00,SWITCH TACTILE SPST-NO 0.05A 12V,S2
20.0,038-32083-00,SWITCH TACTILE SPST-NO 0.05A 12V,S3
20.0,038-32083-00,SWITCH TACTILE SPST-NO 0.05A 12V,S4
20.0,037-32081-00,FFC & FPC Connectors FFC/FPC CONN,LCD1
20.0,029-32075-00,Inductor 4.7uH,L5
20.0,029-32074-00,Inductor 120uH,L6
20.0,027-32072-00,FERRITE BEAD 120 OHM 0402 1LN,L1
20.0,027-32072-00,FERRITE BEAD 120 OHM 0402 1LN,L2
20.0,027-32072-00,FERRITE BEAD 120 OHM 0402 1LN,L3
20.0,027-32072-00,FERRITE BEAD 120 OHM 0402 1LN,L4
20.0,017-32068-A0,PCB SYRMA 980018370-004,PCB
20.0,016-32062-06,DIODE SCHOTTKY 30V 200MA SOD523,D1
20.0,016-32060-05,"LED MOUNT .120"" < 4.3 mm width",SPACER2
20.0,016-32060-05,"LED MOUNT .120"" < 4.3 mm width",SPACER5
20.0,015-32048-02,MOSFET N-CH 60V 0.115A SOT-23,Q1
20.0,014-32045-26,IC OP AMP MCP601T-I/OT SOT23,U4
20.0,014-32044-08,IC VOLTAGE REG TPS71530DCKR SC70,U3
20.0,014-32043-08,IC SWITCH REG LM5010ASD/NOPB WSON10,U5
20.0,014-32040-00,IC REG BST SYNC ADJ 0.12A 10-LLP,U2
20.0,014-32039-00,IC MCU 32BIT 256KB FLASH 100LQFP,U1
20.0,014-0082-16,IC 2.5V REF SOT-23                      ,D3
